,GNN_Agent,EqualWeight,SPY
2022-12-08,872393.0530534417,1622633.7216683961,1000000.0
2022-12-09,872531.528141228,1604617.2426824216,1000000.0
2022-12-12,872670.0252091871,1634471.156086069,1000000.0
2022-12-13,872808.5442608076,1649393.6806186642,1000000.0
2022-12-14,872947.0852995792,1639683.1385356202,1000000.0
2022-12-15,873085.648328992,1607651.824628512,1000000.0
2022-12-16,873224.2333525363,1589465.8027305144,1000000.0
2022-12-19,873362.8403737035,1582777.912443444,1000000.0
2022-12-20,873501.469395985,1587605.2380573233,1000000.0
2022-12-21,873640.1204228734,1615960.290099965,1000000.0
2022-12-22,873778.7934578613,1591947.6264106245,1000000.0
2022-12-23,873917.4885044419,1607430.6122706793,1000000.0
2022-12-27,874056.2055661094,1606525.2624175518,1000000.0
2022-12-28,874194.944646358,1588248.66715743,1000000.0
2022-12-29,874333.705748683,1611100.5079248117,1000000.0
2022-12-30,874472.4888765797,1610356.2143271908,1000000.0
2023-01-03,874611.2940335444,1600104.6357613015,1000000.0
2023-01-04,874750.1212230735,1612506.1039219545,1000000.0
2023-01-05,874888.9704486645,1604077.0733655922,1000000.0
2023-01-06,875027.8417138152,1638305.3768643648,1000000.0
2023-01-09,875166.7350220238,1636893.6174710826,1000000.0
2023-01-10,875305.6503767893,1648189.0450141774,1000000.0
2023-01-11,875444.587781611,1662318.3989401767,1000000.0
2023-01-12,875583.5472399892,1672506.5281471086,1000000.0
2023-01-13,875722.5287554242,1683005.9826253238,1000000.0
2023-01-17,875861.5323314172,1678959.8829620786,1000000.0
2023-01-18,876000.5579714698,1651317.771031786,1000000.0
2023-01-19,876139.6056790844,1643469.4998825456,1000000.0
2023-01-20,876278.6754577637,1669682.7436605932,1000000.0
2023-01-23,876417.7673110111,1686557.6658381461,1000000.0
2023-01-24,876556.8812423303,1681705.8933555987,1000000.0
2023-01-25,876696.017255226,1684444.009866076,1000000.0
2023-01-26,876835.1753532031,1705522.5823162608,1000000.0
2023-01-27,876974.3555397672,1701545.406997902,1000000.0
2023-01-30,877113.5578184244,1681382.3072818483,1000000.0
2023-01-31,877252.7821926813,1699590.9030948172,1000000.0
2023-02-01,877392.0286660453,1708038.1661005288,1000000.0
2023-02-02,877531.2972420241,1707344.8771610672,1000000.0
2023-02-03,877670.587924126,1695631.2288684684,1000000.0
2023-02-06,877809.9007158601,1685304.796368666,1000000.0
2023-02-07,877949.2356207357,1708456.8783792276,1000000.0
2023-02-08,878088.5926422629,1696466.5493638855,1000000.0
2023-02-09,878227.9717839523,1682427.2957384612,1000000.0
2023-02-10,878367.373049315,1700101.0352100267,1000000.0
2023-02-13,878506.7964418625,1718753.9957030911,1000000.0
2023-02-14,878646.2419651073,1717879.1545445586,1000000.0
2023-02-15,878785.7096225622,1710298.1827981658,1000000.0
2023-02-16,878925.1994177405,1688332.6311457164,1000000.0
2023-02-17,879064.7113541561,1676195.1846189157,1000000.0
2023-02-21,879204.2454353234,1650826.1189328262,1000000.0
2023-02-22,879343.8016647578,1643272.6073497885,1000000.0
2023-02-23,879483.3800459745,1657671.9655113409,1000000.0
2023-02-24,879622.9805824897,1642484.4767693193,1000000.0
2023-02-27,879762.6032778204,1644745.564962206,1000000.0
2023-02-28,879902.2481354837,1635127.5079963706,1000000.0
2023-03-01,880041.9151589973,1640133.8982647955,1000000.0
2023-03-02,880181.6043518798,1657168.6349871228,1000000.0
2023-03-03,880321.3157176499,1680907.9743354581,1000000.0
2023-03-06,880461.0492598274,1681188.7124990912,1000000.0
2023-03-07,880600.8049819322,1653802.5019806155,1000000.0
2023-03-08,880740.5828874849,1651134.1383000365,1000000.0
2023-03-09,880880.3829800069,1623436.9352504585,1000000.0
2023-03-10,881020.2052630197,1606806.58552697,1000000.0
2023-03-13,881160.0497400456,1590543.0324431823,1000000.0
2023-03-14,881299.9164146075,1620013.8199829313,1000000.0
2023-03-15,881439.805290229,1596181.8385346942,1000000.0
2023-03-16,881579.7163704339,1624226.6414911018,1000000.0
2023-03-17,881719.6496587467,1605388.5312269742,1000000.0
2023-03-20,881859.6051586927,1621331.8102989227,1000000.0
2023-03-21,881999.5828737973,1643997.4886401799,1000000.0
2023-03-22,882139.5828075869,1620276.4165053002,1000000.0
2023-03-23,882279.6049635882,1619195.6581080698,1000000.0
2023-03-24,882419.6493453284,1622043.47679333,1000000.0
2023-03-27,882559.7159563358,1637472.673466716,1000000.0
2023-03-28,882699.8048001385,1639467.725484176,1000000.0
2023-03-29,882839.9158802655,1659938.2531054057,1000000.0
2023-03-30,882980.0492002467,1666302.8015189744,1000000.0
2023-03-31,883120.2047636119,1687038.40554359,1000000.0
2023-04-03,883260.3825738918,1706643.5658249871,1000000.0
2023-04-04,883400.5826346179,1691240.824154411,1000000.0
2023-04-05,883540.804949322,1698865.108837549,1000000.0
